Наименование,"БВП на човек от населението, лв.",,,,,,,,,,,,"Средна годишна брутна заплата на наетите по трудово и служебно правоотношение, лв.",,,,,,,,,,,,"Размер на средна пенсия, лв.",,,,,,,,,,,Коефициент на Джини на подоходно неравенство,,,,,,,,,,,,,"Относителен дял на населението, живеещо под линията на бедността за страната, %",,,,,
Година,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2019,2020,2021,2022,2023,2024
Благоевград,7533,7660,7659,8013,8449,9069,9989,10627,11179,13011,14642,16449,6271,6566,6818,7181,7658,8297,9024,9810,10881,12226,13833,15999,280,290,299,312,329,346,395,490,620,711,802,23.3,25.5,27.6,26.9,32.1,32.3,36.1,37.2,35.5,34.1,32.1,27.6,28.6,23.9,25.1,19.1,22.9,21.6,19.5
Бургас,9881,10101,9449,10943,12174,13283,13460,14483,12351,17116,19514,22169,7788,8212,8834,9102,9540,10276,11225,12301,13473,14852,16307,18805,349,365,376,389,408,434,495,600,742,872,979,31.1,34.1,34.2,38.9,34.7,38.2,31.8,33,34.4,32.6,38.0,29.7,31.7,20.0,26.5,24.6,22.1,21.0,23.0
Варна,11631,11543,12576,13285,13756,14992,16537,17545,17379,19658,24085,26946,8562,8922,9272,10000,10773,11700,13008,14282,15299,17201,19448,22587,326,339,351,364,384,405,464,569,712,830,935,28.7,31.8,32.9,39.9,40.9,38.1,35.2,39,39,35.9,33.5,33.1,37.1,18.4,22.9,17.3,14.2,14.6,15.2
Велико Търново,7586,7974,8075,8665,9121,9950,11262,12078,12448,14982,17912,20187,6742,7262,7662,8213,8934,9665,10529,11619,13008,14545,16105,18473,292,302,313,325,344,362,412,506,641,738,834,35.3,30.1,43,29.5,31.5,34.7,38,35.2,33.7,32.1,30.8,32.8,27.3,25.8,30.8,22.5,20.7,28.9,25.7
Видин,5695,6016,6283,6494,6712,7758,8357,9267,9424,12062,13177,15071,5855,6195,6663,7011,7522,8233,9103,10302,11253,12855,14566,16402,276,284,292,305,323,337,383,475,603,695,778,40.7,34.5,41.5,42,34.8,42.4,41.3,46.7,37.5,34.2,37.5,33.4,35.2,35.0,43.3,43.3,39.2,33.7,34.9
Враца,9187,8277,9631,9375,9922,12020,15258,13578,16016,17932,26536,27113,9231,9383,9861,10332,10988,11460,12489,13874,15537,17324,19441,21781,302,313,323,336,355,373,427,529,671,786,890,32,34.4,39.5,34.9,38.6,33.3,33,40,41.9,46.9,44.5,39.0,37.8,38.9,33.2,33.5,31.5,19.2,18.0
Габрово,9433,9221,10053,10857,11706,13041,14219,15375,15855,17554,21261,24297,7399,7912,8283,8826,9498,10522,11796,12895,13902,15771,17118,19377,303,314,322,334,351,367,417,510,647,748,845,24.4,23.2,32.2,31.2,29.3,34.4,40.7,33.7,28.2,27.8,30.8,24.3,25.2,17.8,22.3,12.3,21.9,15.7,16.7
Добрич,7591,7957,8185,8470,9045,9826,10047,11002,11803,13761,15166,17075,6738,7164,7581,8084,8705,9539,10429,11440,12548,14099,15837,18200,276,286,295,309,327,343,390,483,609,699,789,34.8,28.8,35.2,31.4,38.2,41.6,36,35.6,33.3,31.6,33.6,41.2,38.3,22.8,25.0,26.0,31.0,32.1,26.8
Кърджали,6381,6228,6219,6764,7243,8006,9175,10799,12783,13435,15138,15593,6266,6842,7222,7648,8335,9285,10419,11356,12705,14508,15693,18079,24,257,263,276,296,309,351,441,561,633,710,25.9,33.9,35.5,35.6,35.2,33.9,33.2,37.1,33.3,31.6,31.6,32.7,30.9,35.2,30.8,25.5,25.9,27.3,33.2
