Наименование,Относителен дял на населениeто на възраст между 25 и 64 навършени години с висше образование (%),,,,,,,,,,,,,Относителен дял на населението на възраст между 25 и 64 навършени години с основно и по-ниско образование (%),,,,,,,,,,,,,"Средногодишен коефициент на безработица, %",,,,,,,,,,,,,"Средногодишен коефициент на заетост на населението на 20-64 години, %",,,,,,,,,,,,,,,"Дял на населението в трудоспособна възраст,%",,,,,,,,,,,,
Година,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Благоевград,17.7,18,19.6,19.5,19.4,19.9,20.7,21.8,21.1,21,20.4,20.7,25.6,17.5,22,23.8,22.8,21.9,19.6,19.2,19.9,17.9,18.8,18.4,16.2,14.5,14.1,14.3,15,13.8,12.5,10.3,9.8,9.1,11.4,9.1,9.4,10.0,10.4,70.4,69.6,70.1,67.8,67.0,68.3,68.9,74.5,76.6,81.2,76.7,75.0,76.9,76.6,78.9,64.3,64.1,63.5,63.0,62.6,62.1,61.7,61.2,61.1,61.0,59.8,59.5,59.2
Бургас,18.6,20.2,18.8,19.3,23.1,24.8,23.6,22.5,24.2,24.4,22.3,23.4,29.8,29,28,27.8,28.8,27.8,22.2,20.1,20.4,19.6,19.5,19.1,18.4,14.7,8.1,8.4,8.1,7.3,6.4,5.3,4.6,4.3,6.6,4.7,4.0,4.2,4.4,62.2,59.8,61.3,62.9,64.2,66.9,68.0,69.1,72.3,74.1,69.7,70.0,74.3,76.2,77.4,63.0,62.8,62.0,61.6,61.4,60.9,60.5,60.2,60.1,60.2,58.9,58.7,58.7
Варна,26,31.4,33.8,30.6,29.9,32.5,29.5,25.3,24.8,30.2,34.4,36.6,43.5,21.4,18.6,18.8,15.5,16.8,18.3,19.1,18.8,14.4,15.8,16.2,15.2,11.2,7.8,7.4,7.3,6.7,5.7,4.7,3.8,3.5,5.6,3.9,3.2,3.3,3.3,64.1,60.8,57.4,60.6,65.2,72.3,70.2,70.7,71.6,75.1,75.7,78.8,82.9,82.9,86.2,63.7,63.5,62.9,62.6,62.4,62.1,61.8,61.7,61.7,62.0,60.3,60.4,60.5
Велико Търново,23.5,26.6,27.3,26.9,27.3,22.1,26.8,29.6,29.7,28.6,28.1,30.0,33.2,16.3,14.6,16.6,15.6,14.3,14.6,13,8.9,10.1,6.7,7.1,8.1,6.2,11.1,11.1,10.6,9.6,8.2,6.8,5.8,5.3,6.9,5.3,5.7,5.4,5.4,56.7,59.8,59.7,59.4,63.9,69.7,69.4,70.2,71.0,83.4,82.1,77.0,78.7,80.0,77.8,61.4,61.2,60.5,60.1,59.8,59.5,59.3,59.1,59.1,59.4,56.4,56.3,56.3
Видин,15.7,14.6,17.2,21.5,18.5,18.5,20.1,19.2,18,19.8,22.4,20.5,20.1,15.3,12,11.2,10.1,9.4,10.6,11.8,15.4,18.5,17.6,13.4,11.5,13.8,21.6,22.1,23.8,23.1,20.9,17.4,14.9,13.5,14.8,12.3,14.1,14.7,14.7,53.2,53.6,55.6,58.8,57.6,61.4,59.6,59.2,64.0,61.5,59.2,62.4,65.9,65.9,64.1,54.8,54.7,54.2,54.1,54.0,53.9,53.7,53.7,54.2,54.6,53.6,53.5,53.5
Враца,18.2,20.4,22.1,21.1,19.2,19.9,21.5,21,22.9,18.8,15.6,22.3,30.3,18.9,17.9,20.4,22.2,23.9,23.5,20.8,20.7,22.4,24.1,22.5,15.6,10.4,19.6,20.5,22,20.2,17.6,14.8,12.7,11.6,12.5,10.3,10.7,10.4,10.4,58.9,58.4,57.1,56.9,57.4,53.5,53.9,59.7,58.9,65.0,62.5,63.5,65.6,61.8,67.2,59.0,59.0,58.5,58.3,58.1,57.8,57.5,57.3,57.4,57.6,57.3,57.2,57.1
Габрово,25.1,24.9,26.3,26.8,25.9,26.5,27.9,29,23.1,24.6,23.5,23.4,30.0,10.3,9.8,13.8,11.3,8.2,11.2,14.5,12.6,10.6,11.7,13.5,16.1,15.6,7.3,7,6.8,6.2,5.3,4.5,3.9,3.4,5.4,3.9,4.1,4.2,4.1,65.4,63.6,65.2,70.3,72.2,72.4,71.1,71.6,72.5,74.5,74.4,73.4,76.4,74.3,79.2,57.2,57.1,56.3,56.0,55.8,55.5,55.3,54.9,55.2,55.4,54.3,54.4,54.3
Добрич,18.3,18.4,18.4,19.4,22.1,20.9,20.8,21.1,22.3,20.3,17.6,18.7,22.7,25.8,23.4,25.5,24.8,21,20.1,23.4,24.8,25.6,25.6,26.7,28.4,24.4,12.7,12.5,12.5,11.2,9,7.1,5.8,5.0,7.0,4.9,4.8,4.8,4.9,60.4,59.0,63.1,63.0,64.5,64.9,66.4,73.8,70.5,72.4,67.8,66.3,70.2,68.9,70.2,61.4,61.1,60.5,60.2,60.0,59.6,59.3,59.0,59.2,59.3,56.5,56.4,56.3
Кърджали,11.2,15.6,19.8,17.2,15,13.8,16.8,18.6,17.6,24.2,23.5,22.4,24.7,43.8,39.2,37.5,35.1,30.3,33.1,35.7,33.7,34.3,26.6,21.7,20,20.1,15.1,15.9,15.5,14,12.2,11.1,9.6,8.9,9.7,8.2,9.5,10.2,10.0,52.3,56.8,60.3,63.0,64.2,62.5,64.6,65.3,63.3,69.5,67.0,72.8,74.1,70.6,67.2,63.7,63.5,62.8,62.3,62.0,61.4,60.8,60.1,59.8,59.6,57.0,56.8,56.5
