Наименование,Брой на студентите в колежи и университети на 1000 души,,,,,,,,,,,,,"Нетен коефициент на записване на населението V-VII, %",,,,,,,"Дял на  оценките на ДЗИ по български език и литература под среден 3,00, %",,,,,,,,,,,,,,"Среден успех на ДЗИ по български език и литература, /6",,,,,,,,,,,,,,"Среден успех на НВО след 7 клас по математика, в точки/100",,,,,,,,"Индекс на съответствието между ПОО и заетостта, в точки/100",,,,Дял на децата в детските градини (Групов нетен коефициент на записване),,,,,,,,,,,,
Година,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2022,2023,2024,2025,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Благоевград,41.3,42.9,41.6,38.5,34.9,32.4,30.8,29.6,29.4,29.0,28.5,27.7,30.4,91.8,92.4,92.4,92.9,94.5,94.0,93.9,5.4,3.8,2.7,6.1,10.5,8.4,7.5,10.0,7.8,6.2,16.0,16.6,8.3,12.0,4.19,4.29,4.41,4.24,4.04,4.12,4.04,4.06,4.24,4.19,3.91,3.84,4.31,4.21,32.3,35.0,34.4,37.1,35.0,33.3,41.1,42.4,47.8,40.1,41.8,42.7,84.8,87.8,89.3,88.2,88.8,89.2,88.9,88.3,89.4,89.6,92.6,93.8,95.3
Бургас,23.6,23.4,21.7,19.8,17.3,15.9,14.4,14.8,15.1,17.1,16.5,14.5,16.4,87.3,85.9,85.5,84.8,90.2,89.0,88.6,6.6,7.0,6.1,7.1,10.1,9.8,5.8,9.6,9.8,9.0,20.0,21.9,11.7,13.0,4.11,4.19,4.26,4.22,4.08,4.10,4.06,4.11,4.18,4.12,3.85,3.68,4.14,4.08,32.5,36.9,38.1,39.3,36.9,37.2,45.3,43.5,44.8,51.1,55.4,51.9,83.2,85.1,80.9,84.0,81.5,80.1,79.3,80.0,78.8,79.0,88.4,88.1,89.0
Варна,69.3,67.2,65.2,63.8,56.9,52.9,51.0,50.9,50.1,50.3,51.6,49.3,50.5,84.2,84.7,83.6,83.0,92.8,91.9,91.2,5.1,4.7,5.1,5.2,5.4,6.7,4.3,6.2,6.3,4.9,12.8,16.1,8.7,10.0,4.22,4.38,4.30,4.37,4.38,4.36,4.21,4.26,4.34,4.39,4.11,3.94,4.36,4.31,32.6,38.6,43.3,44.4,43.3,42.6,51.3,49.5,52.0,51.4,55.4,57.9,80.4,82.7,83.5,81.2,79.8,78.9,79.2,80.1,80.4,81.2,90.3,90.5,90.5
Велико Търново,109.3,107.3,108.3,97.4,89.0,77.4,69.5,67.2,68.1,69.1,75.5,69.5,76.0,84.0,85.7,85.1,83.9,92.8,93.3,93.1,6.2,6.6,5.5,6.2,8.6,7.8,5.3,7.2,7.1,6.4,19.5,18.8,9.6,11.0,4.19,4.27,4.24,4.24,4.10,4.20,3.96,4.05,4.28,4.12,3.83,3.72,4.24,4.16,26.5,30.1,33.4,35.4,32.7,31.2,39.3,39.0,47.2,42.6,49.2,44.1,85.8,86.4,84.1,79.6,76.4,75.4,76.6,78.1,79.1,80.6,90.6,92.0,92.8
Видин,0.0,0.0,0.0,0.0,0.0,2.3,3.8,5.1,5.5,5.7,5.3,4.6,4.4,82.9,78.9,80.8,78.8,87.3,87.6,87.8,8.3,4.8,3.7,6.1,6.0,5.5,3.3,6.8,8.8,6.4,19.9,21.1,9.6,15.0,4.14,4.23,4.24,4.22,4.20,4.26,3.96,4.18,4.21,4.12,3.83,3.63,4.20,4.06,25.1,24.6,28.7,28.4,21.6,25.4,31.3,30.5,32.9,40.9,36.5,33.7,81.8,85.5,86.6,81.0,80.8,80.5,78.2,78.7,76.3,80.7,87.1,88.8,90.6
Враца,3.3,3.7,4.4,5.0,6.1,5.6,5.8,6.8,7.1,7.9,8.3,8.6,9.4,93.0,89.9,91.8,92.3,91.7,91.0,91.2,6.3,3.6,4.1,7.7,10.8,8.6,6.8,10.6,7.9,9.7,24.1,24.5,8.9,14.0,4.14,4.21,4.30,4.12,4.04,4.14,4.00,3.98,4.08,3.99,3.75,3.58,4.10,3.94,26.3,26.2,28.9,30.3,26.4,26.7,31.4,31.6,44.1,53.3,50.5,45.3,89.0,91.6,90.7,87.9,86.4,86.9,86.1,86.3,86.2,88.2,90.6,92.3,93.8
Габрово,48.8,50.7,53.1,57.3,57.0,48.9,46.7,43.8,46.1,45.8,43.9,27.8,28.5,95.5,93.4,100.0,90.5,92.9,92.9,92.5,4.7,3.7,4.3,6.6,7.1,6.8,4.6,7.8,7.9,4.8,15.6,17.3,8.1,12.0,4.24,4.27,4.37,4.23,4.12,4.17,4.11,4.10,4.31,4.19,3.87,3.80,4.25,4.16,30.2,31.3,33.9,33.4,30.9,31.3,38.6,38.1,54.1,44.7,39.2,48.9,87.7,88.8,86.0,86.9,85.5,85.2,85.9,85.0,85.1,85.7,89.7,91.3,92.3
Добрич,6.1,5.9,4.8,3.9,4.2,4.1,4.4,4.3,3.8,4.0,4.0,3.4,3.5,76.4,74.7,73.4,70.6,84.5,83.4,83.3,3.2,4.1,2.9,2.9,3.8,4.3,3.2,4.3,5.3,8.7,24.4,19.6,9.9,15.0,4.21,4.29,4.29,4.26,4.25,4.16,3.98,4.12,4.20,4.08,3.68,3.72,4.12,3.98,27.1,27.3,29.8,30.5,29.2,29.0,33.8,33.0,59.5,67.2,62.9,64.9,82.7,85.0,81.2,75.6,75.6,72.5,75.1,76.6,75.6,75.9,86.9,87.2,89.3
Кърджали,6.6,6.7,6.7,6.3,5.9,4.7,4.2,3.9,3.7,3.6,4.0,3.6,3.5,83.5,80.3,77.2,76.0,86.6,84.0,83.1,4.2,4.7,3.0,11.4,16.9,20.7,16.3,20.4,21.0,17.9,25.9,23.9,14.7,16.0,4.48,4.60,4.71,4.06,3.85,3.77,3.56,3.78,3.92,3.98,3.73,3.75,4.22,4.12,33.7,34.8,31.9,31.7,30.5,29.4,36.8,35.2,46.2,51.1,46.7,34.5,81.8,83.6,80.5,77.7,74.6,73.7,69.8,65.7,61.1,58.7,83.3,78.1,74.8
